"locus","anchor_hog","direction","n_main_pathways","n_deployment_rankings","best_pathway_fdr","max_deployment_pair_agreement","pathway_terms","topology_metric","topology_group_separation","topology_exact_p","topology_feature","topology_median","topology_pair_agreement","topology_direction","topology_supported","BDIS","BSYL","HVUL","HJUB","BMAX","BMED","VBRO","FPRA","mean_effect_size","max_q","n_multicopy_species","best_arabi_gene","best_arabi_defline","best_rice_gene","best_rice_defline","hotspot_rank_within_direction"
"Bradi1g26420","HOG:0006131","annual",1,1,0.0336085263847882,2,"protein binding","neighborhood_jaccard",0.0301735929682282,0.114285714285714,"anchor_module_mean_strength_ratio",0.0722861964287757,3,"annual",TRUE,"Bradi1g26420.v3.2","Brasyl.6G114100.v2.1","HORVU.MOREX.r3.2HG0141710.V3","HJUBATUM.BCC2055.r1.2H_1G00148550","gene-Bmax_egapxtmp_006142","BMED2_gene-Bmax_egapxtmp_006142","VULPIA.BROMOIDES.r1.ctg105G00019340","gene-Fpra_egapxtmp_011406",9.65044378790437,0.000287227946331184,0,"AT5G55040","DNA-binding bromodomain-containing protein","","",11
"Bradi3g15410","HOG:0005857","annual",1,1,0.0336085263847882,3,"protein binding","matched_edge_correlation",0.0639366086533088,0.0857142857142857,"internal_edge_density",0.0658493349030433,3,"annual",TRUE,"Bradi3g15410.v3.2","Brasyl.3G032600.v2.1","HORVU.MOREX.r3.7HG0695240.V3","HJUBATUM.BCC2055.r1.7H_1G00769380","gene-Bmax_egapxtmp_059475","BMED2_gene-Bmax_egapxtmp_059475","VULPIA.BROMOIDES.r1.ctg47G00450910","gene-Fpra_egapxtmp_041563",10.238443974931,6.80363287079895e-07,0,"AT4G15180","SET domain protein 2","","",12
"Bradi2g59247","HOG:0027421","annual",1,1,0.0336085263847882,3,"protein binding","module_edge_jaccard",0.0402601355407494,0.0285714285714286,"internal_edge_density",0.0538578317134799,3,"annual",TRUE,"Bradi2g59247.v3.2","Brasyl.1G049600.v2.1","HORVU.MOREX.r3.3HG0311470.V3","HJUBATUM.BCC2055.r1.3H_1G00329870","gene-Bmax_egapxtmp_054110","BMED2_gene-Bmax_egapxtmp_054110","VULPIA.BROMOIDES.r1.ctg8G00501130","gene-Fpra_egapxtmp_035691",10.2185547809911,2.63807258723652e-09,0,"AT1G27430","GYF domain-containing protein","LOC_Os01g69990","GYF domain containing protein, putative, expressed",13
"Bradi4g35150","HOG:0017160","annual",1,1,0.0336085263847882,3,"protein binding","neighborhood_jaccard",0.0302879720325802,0.0571428571428571,"internal_edge_density",0.0399407455289809,3,"annual",TRUE,"Bradi4g35150.v3.2","Brasyl.5G396200.v2.1","HORVU.MOREX.r3.5HG0495950.V3","HJUBATUM.BCC2055.r1.5H_1G00542410","gene-Bmax_egapxtmp_034844","BMED2_gene-Bmax_egapxtmp_034844","VULPIA.BROMOIDES.r1.ctg15G00121680","gene-Fpra_egapxtmp_032350",5.50179297657193,0.000562345508083521,0,"AT1G05910","cell division cycle protein 48-related / CDC48-related","LOC_Os09g33980","bromodomain protein 103, putative, expressed",14
"Bradi2g20415","HOG:0010551","annual",1,1,0.0336085263847882,2,"protein binding","matched_edge_correlation",0.0666550050816833,0.0571428571428571,"internal_edge_density",0.0275093181598732,4,"annual",TRUE,"Bradi2g20415.v3.2","Brasyl.8G075300.v2.1","HORVU.MOREX.r3.1HG0078900.V3","HJUBATUM.BCC2055.r1.1H_1G00074280","gene-Bmax_egapxtmp_014707","BMED2_gene-Bmax_egapxtmp_014707","VULPIA.BROMOIDES.r1.ctg22G00257650","gene-Fpra_egapxtmp_011106",9.49386791181021,4.25709859214107e-06,0,"","","LOC_Os05g43280","MATH domain containing protein, expressed",15
"Bradi3g59577","HOG:0032903","annual",5,3,0.00323514598498051,3,"DNA binding;nucleic acid binding;nucleic acid metabolic process;RNA biosynthetic process","matched_edge_correlation",0.129828280841582,0.0571428571428571,"anchor_module_mean_strength_ratio",-0.0630601760699425,2,"perennial",FALSE,"Bradi3g59577.v3.2","Brasyl.4G020700.v2.1","HORVU.MOREX.r3.6HG0615660.V3","HJUBATUM.BCC2055.r1.6H_1G00677790","gene-Bmax_egapxtmp_028614","BMED2_gene-Bmax_egapxtmp_028614","VULPIA.BROMOIDES.r1.ctg30G00391620","gene-Fpra_egapxtmp_040204",9.75118419928434,5.31486554364546e-05,0,"AT3G48060","BAH domain ;TFIIS helical bundle-like domain","LOC_Os02g50840","BAH domain containing protein, putative, expressed",16
"Bradi2g16647","HOG:0026742","annual",5,3,0.00323514598498051,3,"DNA binding;nucleic acid binding;nucleic acid metabolic process;RNA biosynthetic process","matched_edge_mean_abs_log_threshold_distance",-1.83778379589244e-05,0.571428571428571,"internal_edge_density",-0.0446000420200192,3,"perennial",FALSE,"Bradi2g16647.v3.2","Brasyl.8G032800.v2.1","HORVU.MOREX.r3.1HG0087450.V3","HJUBATUM.BCC2055.r1.1H_1G00088530","gene-Bmax_egapxtmp_016983","BMED2_gene-Bmax_egapxtmp_016983","VULPIA.BROMOIDES.r1.ctg18G00210110","gene-Fpra_egapxtmp_001682",8.45125644422592,0.0019184856835251,4,"AT5G44180","Homeodomain-like transcriptional regulator","LOC_Os05g48820","DDT, putative, expressed",17
"Bradi3g59560","HOG:0032904","annual",5,3,0.00323514598498051,4,"DNA binding;nucleic acid binding;nucleic acid metabolic process;RNA biosynthetic process","matched_edge_correlation",0.037994961352255,0.285714285714286,"internal_edge_density",-0.0134365120654749,3,"perennial",FALSE,"Bradi3g59560.v3.2","Brasyl.4G020800.v2.1","HORVU.MOREX.r3.6HG0615650.V3","HJUBATUM.BCC2055.r1.6H_1G00677750","gene-Bmax_egapxtmp_026365","BMED2_gene-Bmax_egapxtmp_026365","VULPIA.BROMOIDES.r1.ctg30G00391600","gene-Fpra_egapxtmp_009251",8.28154759846543,0.000263958389903285,0,"AT3G48060","BAH domain ;TFIIS helical bundle-like domain","","",18
"Bradi1g57635","HOG:0025848","annual",3,3,0.00323514598498051,3,"DNA binding;nucleic acid binding","module_edge_jaccard",0.021801037972032,0.228571428571429,"anchor_module_mean_strength_ratio",0.0994181588737752,3,"annual",FALSE,"Bradi1g57635.v3.2","Brasyl.6G207200.v2.1","HORVU.MOREX.r3.7HG0748860.V3","HJUBATUM.BCC2055.r1.7H_1G00826200","gene-Bmax_egapxtmp_058018","BMED2_gene-Bmax_egapxtmp_058018","VULPIA.BROMOIDES.r1.ctg4G00414950","gene-Fpra_egapxtmp_035238",8.02472282520457,0.000156295980641291,2,"AT3G12810","SNF2 domain-containing protein / helicase domain-containing protein","LOC_Os02g46450","helicase conserved C-terminal domain containing protein, expressed",19
"Bradi2g14375","HOG:0010482","annual",3,3,0.00323514598498051,3,"DNA binding;nucleic acid binding","matched_edge_mean_abs_log_threshold_distance",0.00119913570456123,0.228571428571429,"internal_edge_density",0.0700798466693824,3,"annual",FALSE,"Bradi2g14375.v3.2","Brasyl.8G005900.v2.1","HORVU.MOREX.r3.1HG0094760.V3","HJUBATUM.BCC2055.r1.1H_1G00098370","gene-Bmax_egapxtmp_022057","BMED2_gene-Bmax_egapxtmp_022057","VULPIA.BROMOIDES.r1.ctg100G00006910","gene-Fpra_egapxtmp_023657",10.3743117226595,2.61395503127523e-05,1,"AT3G24880","Helicase/SANT-associated, DNA binding protein","","",20
"Bradi1g24950","HOG:0005683","annual",2,2,0.00816281669128308,3,"nucleic acid metabolic process;RNA biosynthetic process","matched_edge_correlation",0.0696965667291812,0.142857142857143,"internal_edge_density",0.0292247134352395,2,"annual",FALSE,"Bradi1g24950.v3.2","Brasyl.1G056600.v2.1","HORVU.MOREX.r3.3HG0309610.V3","HJUBATUM.BCC2055.r1.3H_1G00326910","gene-Bmax_egapxtmp_003456","BMED2_gene-Bmax_egapxtmp_003456","VULPIA.BROMOIDES.r1.ctg4G00424080","gene-Fpra_egapxtmp_037999",9.26150572407889,7.75618952321294e-06,1,"AT1G24706","THO2","LOC_Os01g68810","expressed protein",21
"Bradi1g18770","HOG:0006332","annual",2,2,0.0336085263847882,3,"protein binding;zinc ion binding","matched_edge_correlation",0.0467978055012624,0.142857142857143,"anchor_module_mean_strength_ratio",0.120442572940645,3,"annual",FALSE,"Bradi1g18770.v3.2","Brasyl.6G026100.v2.1","HORVU.MOREX.r3.2HG0116410.V3","HJUBATUM.BCC2055.r1.2H_1G00126320","gene-Bmax_egapxtmp_012881","BMED2_gene-Bmax_egapxtmp_012881","VULPIA.BROMOIDES.r1.ctg9G00556460","gene-Fpra_egapxtmp_012111",8.19098813603794,0.00178702145769106,0,"AT5G12400","DNA binding;zinc ion binding;DNA binding","LOC_Os07g46690","PHD-finger family protein, expressed",22
"Bradi4g07717","HOG:0028145","annual",2,2,0.0336085263847882,3,"protein binding;zinc ion binding","neighborhood_jaccard",0.0142473028883573,0.2,"internal_edge_density",0.0890612653493482,4,"annual",FALSE,"Bradi4g07717.v3.2","Brasyl.5G095100.v2.1","HORVU.MOREX.r3.5HG0506100.V3","HJUBATUM.BCC2055.r1.5H_1G00554520","gene-Bmax_egapxtmp_036151","BMED2_gene-Bmax_egapxtmp_036151","VULPIA.BROMOIDES.r1.ctg234G00304390","gene-Fpra_egapxtmp_044433",9.48397797653959,4.65617159510096e-07,2,"AT1G08060","ATP-dependent helicase family protein","LOC_Os06g01320","chromo domain containing protein, expressed",23
"Bradi2g03180","HOG:0028333","annual",2,2,0.034370137541847,3,"zinc ion binding","module_edge_jaccard",0.0223590944921728,0.171428571428571,"anchor_module_mean_strength_ratio",0.216995647522189,3,"annual",FALSE,"Bradi2g03180.v3.2","Brasyl.1G405000.v2.1","HORVU.MOREX.r3.3HG0230560.V3","HJUBATUM.BCC2055.r1.3H_1G00249610","gene-Bmax_egapxtmp_053916","BMED2_gene-Bmax_egapxtmp_053916","VULPIA.BROMOIDES.r1.ctg17G00172730","gene-Fpra_egapxtmp_024809",8.9564291706026,0.0001768227393807,2,"AT5G02310","proteolysis 6","LOC_Os01g05500","zinc finger protein, putative, expressed",24
"Bradi2g48010","HOG:0007713","annual",2,1,0.00487950523414907,3,"oxidoreductase activity;small molecule metabolic process","matched_edge_mean_abs_log_threshold_distance",0.000576551603540226,0.0285714285714286,"anchor_module_mean_strength_ratio",-0.161087645269119,3,"perennial",FALSE,"Bradi2g48010.v3.2","Brasyl.1G181000.v2.1","HORVU.MOREX.r3.3HG0284330.V3","HJUBATUM.BCC2055.r1.3H_1G00299130","gene-Bmax_egapxtmp_052634","BMED2_gene-Bmax_egapxtmp_052634","VULPIA.BROMOIDES.r1.ctg8G00528190","gene-Fpra_egapxtmp_035421",6.29841316662161,7.2567510635427e-09,0,"AT2G26080","glycine decarboxylase P-protein 2","LOC_Os06g40940","glycine dehydrogenase, putative, expressed",25
"Bradi1g07170","HOG:0026770","annual",2,1,0.00487950523414907,4,"oxidoreductase activity;small molecule metabolic process","matched_edge_mean_abs_log_threshold_distance",-0.000104936403203637,0.542857142857143,"anchor_module_mean_strength_ratio",-0.111625237630352,3,"perennial",FALSE,"Bradi1g07170.v3.2","Brasyl.2G332800.v2.1","HORVU.MOREX.r3.5HG0513810.V3","HJUBATUM.BCC2055.r1.5H_2G00603790","gene-Bmax_egapxtmp_025362","BMED2_gene-Bmax_egapxtmp_042631","VULPIA.BROMOIDES.r1.ctg99G00576450","gene-Fpra_egapxtmp_005190",6.96554902029837,2.2229249351776e-58,8,"AT2G22780","peroxisomal NAD-malate dehydrogenase 1","LOC_Os03g56280","lactate/malate dehydrogenase, putative, expressed",26
"Bradi3g12460","HOG:0025863","annual",2,1,0.00487950523414907,4,"oxidoreductase activity;small molecule metabolic process","matched_edge_mean_abs_log_threshold_distance",0.000833628855305156,0.0285714285714286,"anchor_module_mean_strength_ratio",-0.110774279198939,3,"perennial",FALSE,"Bradi3g12460.v3.2","Brasyl.3G310600.v2.1","HORVU.MOREX.r3.7HG0690370.V3","HJUBATUM.BCC2055.r1.7H_1G00761860","gene-Bmax_egapxtmp_058705","BMED2_gene-Bmax_egapxtmp_058705","VULPIA.BROMOIDES.r1.ctg29G00362010","gene-Fpra_egapxtmp_016087",6.95473278100101,4.39844406827696e-05,0,"AT5G58330","lactate/malate dehydrogenase family protein","LOC_Os08g44810","lactate/malate dehydrogenase, putative, expressed",27
"Bradi1g76470","HOG:0011862","annual",2,1,0.00487950523414907,3,"oxidoreductase activity;small molecule metabolic process","module_edge_jaccard",0.00349240126401995,0.285714285714286,"anchor_module_mean_strength_ratio",-0.0758608674809574,3,"perennial",FALSE,"Bradi1g76470.v3.2","Brasyl.2G029800.v2.1","HORVU.MOREX.r3.2HG0173220.V3","HJUBATUM.BCC2055.r1.2H_1G00179830","gene-Bmax_egapxtmp_008518","BMED2_gene-Bmax_egapxtmp_008518","VULPIA.BROMOIDES.r1.ctg16G00160060","gene-Fpra_egapxtmp_020445",6.87120272418345,4.04718371238708e-59,0,"AT1G42970","glyceraldehyde-3-phosphate dehydrogenase B subunit","LOC_Os03g03720","glyceraldehyde-3-phosphate dehydrogenase, putative, expressed",28
"Bradi1g25002","HOG:0032849","annual",2,1,0.0060892752878677,3,"nucleic acid binding;protein binding","matched_edge_mean_abs_log_threshold_distance",0.000420956905919694,0.314285714285714,"internal_edge_density",0.0583943833943834,3,"annual",FALSE,"Bradi1g25002.v3.2","Brasyl.6G098400.v2.1","HORVU.MOREX.r3.2HG0136090.V3","HJUBATUM.BCC2055.r1.2H_1G00144880","gene-Bmax_egapxtmp_006549","BMED2_gene-Bmax_egapxtmp_006549","VULPIA.BROMOIDES.r1.ctg105G00016330","gene-Fpra_egapxtmp_046851",9.77349453037144,1.06584880046572e-07,0,"AT3G60240","eukaryotic translation initiation factor 4G","LOC_Os07g36940","eukaryotic translation initiation factor 4G, putative, expressed",29
"Bradi2g21120","HOG:0006505","annual",2,1,0.024162186288861,3,"phosphorus metabolic process;small molecule metabolic process","module_edge_jaccard",0.0131251707739357,0.0571428571428571,"anchor_module_mean_strength_ratio",-0.181009581740014,3,"perennial",FALSE,"Bradi2g21120.v3.2","Brasyl.8G082200.v2.1","HORVU.MOREX.r3.1HG0068880.V3","HJUBATUM.BCC2055.r1.1H_1G00072070","gene-Bmax_egapxtmp_014838","BMED2_gene-Bmax_egapxtmp_014838","VULPIA.BROMOIDES.r1.ctg22G00256140","gene-Fpra_egapxtmp_004369",6.73691427190099,9.3591467777806e-42,8,"AT3G12780","phosphoglycerate kinase 1","LOC_Os05g41640","phosphoglycerate kinase protein, putative, expressed",30
"Bradi1g55740","HOG:0030062","annual",2,1,0.024162186288861,3,"phosphorus metabolic process;small molecule metabolic process","neighborhood_jaccard",0.0114593125585139,0.228571428571429,"anchor_module_mean_strength_ratio",-0.147555806796592,3,"perennial",FALSE,"Bradi1g55740.v3.2","Brasyl.6G183700.v2.1","HORVU.MOREX.r3.6HG0548700.V3","HJUBATUM.BCC2055.r1.2H_1G00158690","gene-Bmax_egapxtmp_006593","BMED2_gene-Bmax_egapxtmp_006593","VULPIA.BROMOIDES.r1.ctg23G00266370","gene-Fpra_egapxtmp_007054",6.62232563012083,5.68975271706863e-16,1,"AT3G04790","Ribose 5-phosphate isomerase, type A protein","LOC_Os07g08030","ribose-5-phosphate isomerase A, putative, expressed",31
"Bradi3g45140","HOG:0028720","annual",1,1,0.00487950523414907,3,"oxidoreductase activity","neighborhood_jaccard",0.038940242020515,0.0571428571428571,"anchor_module_mean_strength_ratio",-0.329069234688276,3,"perennial",FALSE,"Bradi3g45140.v3.2","Brasyl.4G191400.v2.1","HORVU.MOREX.r3.2HG0167220.V3","HJUBATUM.BCC2055.r1.2H_1G00174410","gene-Bmax_egapxtmp_008272","BMED2_gene-Bmax_egapxtmp_008272","VULPIA.BROMOIDES.r1.ctg23G00279640","gene-Fpra_egapxtmp_000952",7.53655648313665,1.21233513244697e-18,2,"AT3G11630","Thioredoxin superfamily protein","LOC_Os02g33450","peroxiredoxin, putative, expressed",32
"Bradi3g42340","HOG:0032320","annual",1,1,0.00487950523414907,4,"oxidoreductase activity","matched_edge_mean_abs_log_threshold_distance",0.000330012515002304,0.0857142857142857,"anchor_module_mean_strength_ratio",-0.190079462879828,3,"perennial",FALSE,"Bradi3g42340.v3.2","Brasyl.3G299100.v2.1","HORVU.MOREX.r3.7HG0687590.V3","HJUBATUM.BCC2055.r1.7H_1G00759940","gene-Bmax_egapxtmp_000328","BMED2_gene-Bmax_egapxtmp_000328","VULPIA.BROMOIDES.r1.ctg29G00360340","gene-Fpra_egapxtmp_025082",6.54855149395359,2.46204683734895e-14,8,"AT4G35000","ascorbate peroxidase 3","LOC_Os08g43560","OsAPx4 - Peroxisomal Ascorbate Peroxidase encoding gene 5,8,9, expressed",33
"Bradi1g74180","HOG:0027495","annual",1,1,0.00487950523414907,2,"oxidoreductase activity","module_edge_jaccard",0.0243424353573634,0.2,"internal_edge_density",-0.140776924437275,3,"perennial",FALSE,"Bradi1g74180.v3.2","Brasyl.2G058200.v2.1","HORVU.MOREX.r3.4HG0402490.V3","HJUBATUM.BCC2055.r1.4H_1G00438590","gene-Bmax_egapxtmp_028804","BMED2_gene-Bmax_egapxtmp_028804","VULPIA.BROMOIDES.r1.ctg16G00154170","gene-Fpra_egapxtmp_040314",6.62218289416385,0.00120509558078337,0,"AT3G54660","glutathione reductase","LOC_Os03g06740","glutathione reductase, putative, expressed",34
"Bradi3g06750","HOG:0025231","annual",1,1,0.00487950523414907,4,"oxidoreductase activity","neighborhood_jaccard",0.019506844366592,0.142857142857143,"internal_edge_density",-0.138397803586306,3,"perennial",FALSE,"Bradi3g06750.v3.2","Brasyl.4G272600.v2.1","HORVU.MOREX.r3.6HG0574460.V3","HJUBATUM.BCC2055.r1.6H_1G00641670","gene-Bmax_egapxtmp_025790","BMED2_gene-Bmax_egapxtmp_025790","VULPIA.BROMOIDES.r1.ctg67G00481640","gene-Fpra_egapxtmp_036390",7.94190111563415,2.6258781836097e-08,0,"AT3G52960","Thioredoxin superfamily protein","LOC_Os02g09940","peroxiredoxin, putative, expressed",35
"Bradi2g10770","HOG:0028012","annual",1,1,0.00487950523414907,3,"oxidoreductase activity","module_edge_jaccard",0.00107884197990338,0.4,"internal_edge_density",-0.0935359280227575,3,"perennial",FALSE,"Bradi2g10770.v3.2","Brasyl.1G308900.v2.1","HORVU.MOREX.r3.3HG0257850.V3","HJUBATUM.BCC2055.r1.3H_1G00279430","gene-Bmax_egapxtmp_047053","BMED2_gene-Bmax_egapxtmp_047053","VULPIA.BROMOIDES.r1.ctg17G00200850","gene-Fpra_egapxtmp_045564",7.12116694399685,9.45054151407973e-44,1,"AT3G56940","dicarboxylate diiron protein, putative (Crd1)","LOC_Os01g17170","magnesium-protoporphyrin IX monomethyl ester cyclase,chloroplast precursor, putative, expressed",36
"Bradi3g19310","HOG:0020408","annual",1,1,0.00487950523414907,3,"oxidoreductase activity","neighborhood_jaccard",0.0145036371348138,0.114285714285714,"anchor_module_mean_strength_ratio",-0.08273023316482,4,"perennial",FALSE,"Bradi3g19310.v3.2","Brasyl.3G075400.v2.1","HORVU.MOREX.r3.7HG0752790.V3","HJUBATUM.BCC2055.r1.7H_1G00831970","gene-Bmax_egapxtmp_051714","BMED2_gene-Bmax_egapxtmp_051714","VULPIA.BROMOIDES.r1.ctg47G00446080","gene-Fpra_egapxtmp_012013",7.14335911421858,2.1996560696442e-37,0,"AT1G16080","","LOC_Os08g16570","expressed protein",37
"Bradi3g06597","HOG:0027098","annual",1,1,0.00487950523414907,3,"oxidoreductase activity","matched_edge_mean_abs_log_threshold_distance",0.000756650049221657,0.0571428571428571,"recurrent_coverage",-0.0643939393939394,3,"perennial",FALSE,"Bradi3g06597.v3.2","Brasyl.4G274200.v2.1","HORVU.MOREX.r3.6HG0574960.V3","HJUBATUM.BCC2055.r1.6H_1G00642200","gene-Bmax_egapxtmp_028786","BMED2_gene-Bmax_egapxtmp_028786","VULPIA.BROMOIDES.r1.ctg67G00481380","gene-Fpra_egapxtmp_019303",6.41144525771536,4.6962359409889e-10,0,"AT3G10230","lycopene cyclase","LOC_Os02g09750","lycopene beta cyclase, chloroplast precursor, putative, expressed",38
