"hog","direction","regulator_classes","target_occurrences","other_occurrences","target_prevalence","other_prevalence","target_minus_other","n_target_anchors","n_target_anchors_3_of_4","n_pairs_target_higher","null_target_mean","fold_over_edge_swap","p_edge_swap_target","p_edge_swap_contrast","q_edge_swap_target","q_edge_swap_contrast","bdis_gene","best_arabi_gene","best_arabi_defline","best_rice_gene","best_rice_defline"
"HOG:0012579","annual","any_regulator;protein_kinase",1,1,0.0166666666666667,0.0166666666666667,0,1,0,1,4.24849699398798,0.235377358490566,0.994,0.69,1,1,"Bradi2g53460.v3.2","AT2G40730","Protein kinase family protein with ARM repeat domain","LOC_Os01g60440","HEAT repeat family protein, putative, expressed"
"HOG:0028862","annual","any_regulator;gene_expression_regulator;transcription_regulator;dna_binding_tf",0,0,0,0,0,0,0,0,1.72344689378758,0,1,0.696,1,1,"Bradi3g54720.v3.2","AT3G54810","Plant-specific GATA-type zinc finger transcription factor family protein","LOC_Os02g56250","GATA zinc finger domain containing protein, expressed"
"HOG:0032299","annual","any_regulator;protein_kinase",4,4,0.0666666666666667,0.0666666666666667,0,4,0,1,4.86172344689379,0.82275350370981,0.746,0.698,1,1,"Bradi1g10660.v3.2; Bradi2g59127.v3.2; Bradi3g59820.v3.2","AT2G01830; AT1G27320","CHASE domain containing histidine kinase protein; histidine kinase 3","LOC_Os03g50860; LOC_Os01g69920; LOC_Os02g50480","histidine kinase, putative, expressed"
"HOG:0032488","annual","any_regulator;protein_kinase",0,1,0,0.0166666666666667,-0.0166666666666667,0,0,0,1.35470941883768,0,1,0.7,1,1,"Bradi2g19590.v3.2","AT3G46930","Protein kinase superfamily protein","LOC_Os05g44290","protein kinase domain containing protein, expressed"
"HOG:0032304","annual","any_regulator;protein_kinase",0,1,0,0.0166666666666667,-0.0166666666666667,0,0,0,1.374749498998,0,1,0.704,1,1,"Bradi4g22760.v3.2","AT1G53570","mitogen-activated protein kinase kinase kinase 3","LOC_Os11g10100","STE_MEKK_ste11_MAP3K.3 - STE kinases include homologs to sterile 7, sterile 11 and sterile 20 from yeast, expressed"
"HOG:0027702","annual","any_regulator;gene_expression_regulator;transcription_regulator",0,0,0,0,0,0,0,0,2.06613226452906,0,1,0.706,1,1,"Bradi1g07630.v3.2","AT1G49560","Homeodomain-like superfamily protein","LOC_Os03g55590","MYB family transcription factor, putative, expressed"
"HOG:0011645","annual","any_regulator;protein_kinase",13,15,0.216666666666667,0.25,-0.0333333333333333,11,0,2,1.56513026052104,8.30601792573623,0.002,0.712,0.00991666666666667,1,"Bradi1g10530.v3.2","AT3G17750","Protein kinase superfamily protein","LOC_Os03g51020","expressed protein"
"HOG:0016397","annual","any_regulator;gene_expression_regulator;transcription_regulator",1,2,0.0166666666666667,0.0333333333333333,-0.0166666666666667,1,0,0,7.04809619238477,0.141882286039238,1,0.716,1,1,"Bradi1g12050.v3.2; Bradi3g28930.v3.2","AT5G61780","TUDOR-SN protein 2","LOC_Os02g32350","TUDOR protein with multiple SNc domains, putative, expressed"
"HOG:0025848","annual","any_regulator;gene_expression_regulator;chromatin_regulator",31,31,0.516666666666667,0.516666666666667,0,12,7,2,4.72545090180361,6.56022052586938,0.002,0.732,0.00991666666666667,1,"Bradi1g57635.v3.2; Bradi2g38108.v3.2; Bradi2g42340.v3.2","AT3G12810","SNF2 domain-containing protein / helicase domain-containing protein","LOC_Os02g46450","helicase conserved C-terminal domain containing protein, expressed"
"HOG:0028849","annual","any_regulator;gene_expression_regulator;chromatin_regulator",7,8,0.116666666666667,0.133333333333333,-0.0166666666666667,5,1,2,2.20841683366733,3.16969147005445,0.008,0.748,0.0366153846153846,1,"Bradi3g58310.v3.2","AT1G77180","chromatin protein family","LOC_Os02g52250","SKIP/SNW domain containing protein, expressed"
"HOG:0023486","annual","any_regulator;protein_kinase",0,0,0,0,0,0,0,0,1.98997995991984,0,1,0.748,1,1,"Bradi1g23970.v3.2","AT5G28080","Protein kinase superfamily protein","LOC_Os07g38530","STE_PAK_Ste20_Slob_Wnk.4 - STE kinases include homologs to sterile 7, sterile 11 and sterile 20 from yeast, expressed"
"HOG:0020451","annual","any_regulator;ubiquitin_transferase",0,0,0,0,0,0,0,0,0.925851703406814,0,1,0.75,1,1,"Bradi4g00980.v3.2","AT4G19670","RING/U-box superfamily protein","LOC_Os12g43560","zinc finger, putative, expressed"
